Date,Open,High,Low,Close,Adj Close,Volume
2020-02-24,18.480000,18.580999,15.650000,16.035000,15.916235,139168600
2020-03-02,16.850000,17.504000,14.770000,14.982000,14.871035,260850200
2020-03-09,14.982000,14.982000,11.240000,11.250000,11.166676,228935200
2020-03-16,11.250000,13.498000,10.354000,12.480000,12.387566,339148900
2020-03-23,11.861000,13.476000,11.762000,12.160000,12.069936,345425300
2020-03-30,11.834000,13.475000,11.834000,13.304000,13.205462,273241800
2020-04-06,13.509000,14.779000,13.450000,14.330000,14.223864,321632800
2020-04-13,14.400000,14.444000,12.865000,13.327000,13.228292,228555302
2020-04-20,13.330000,14.440000,13.213000,13.505000,13.404974,255098623
2020-04-27,13.510000,14.498000,13.510000,14.450000,14.342975,150163988
2020-05-04,14.281000,14.641000,13.920000,14.485000,14.377715,91036714
2020-05-11,14.485000,14.590000,13.740000,14.000000,13.896308,87645000
2020-05-18,14.036000,15.170000,14.001000,14.488000,14.380693,211443802
2020-05-25,14.599000,15.557000,14.546000,15.300000,15.186679,174813200
2020-06-01,15.387000,17.410999,15.255000,16.941000,16.815525,347438388
2020-06-08,17.089001,17.298000,15.962000,16.110001,15.990681,152567655
2020-06-15,15.711000,17.639999,15.562000,16.785000,16.660681,231104135
2020-06-22,16.780001,17.341999,16.620001,17.235001,17.107347,85191821
2020-06-29,17.299999,17.629999,16.924000,17.256001,17.128193,120312814
2020-07-06,17.400000,18.358999,17.209999,17.716999,17.585777,190637450
2020-07-13,17.687000,18.520000,17.393000,18.410000,18.273645,94012182
2020-07-20,18.370001,19.520000,18.211000,18.898001,18.898001,126685563
2020-07-27,18.752001,19.976999,18.737000,19.757999,19.757999,109888741
2020-08-03,19.792000,21.374001,16.503000,20.059999,20.059999,157293317
2020-08-10,20.100000,22.761000,19.988001,21.653999,21.653999,590486199
2020-08-17,21.951000,21.997999,20.375000,20.629999,20.629999,210033896
2020-08-24,20.750999,21.719999,20.750999,21.299999,21.299999,122815779
2020-08-31,21.400999,21.900000,20.249001,20.587999,20.587999,195262227
2020-09-07,20.551001,21.076000,20.073000,20.907000,20.907000,106169352
2020-09-14,20.996000,21.538000,20.549999,20.740000,20.740000,130573209
2020-09-21,20.745001,22.750000,19.809999,21.139000,21.139000,287291758
2020-09-28,21.299999,23.379999,20.462999,23.132999,23.132999,303734841
2020-10-05,23.350000,24.117001,22.760000,23.396999,23.396999,228872894
2020-10-12,23.420000,26.218000,23.420000,26.056000,26.056000,245258284
2020-10-19,25.271000,25.948000,24.867001,25.514000,25.514000,156741626
2020-10-26,25.712000,25.712000,24.552000,25.184000,25.184000,197947063
2020-11-02,25.000999,26.840000,24.733999,26.561001,26.561001,227043734
2020-11-09,26.950001,33.700001,26.730000,31.980000,31.980000,583158526
2020-11-16,32.747002,33.470001,30.806000,32.820999,32.820999,486611037
2020-11-23,33.580002,34.479000,29.752001,30.889999,30.889999,801213919
2020-11-30,30.801001,31.156000,29.413000,29.787001,29.787001,381615644
2020-12-07,29.950001,30.033001,27.841000,28.000999,28.000999,350873711
2020-12-14,27.799999,29.490000,27.042000,28.340000,28.340000,395859817
2020-12-21,28.421000,28.997000,27.080000,28.309000,28.309000,175391639
2020-12-28,28.450001,29.247999,28.084000,28.693001,28.693001,121442919
2021-01-04,28.900000,29.797001,28.752001,29.400000,29.400000,77766831
2021-01-11,29.306000,31.629999,29.004999,31.153000,31.153000,351390443
2021-01-18,31.077000,32.529999,30.020000,31.583000,31.583000,325775132
2021-01-25,31.799999,33.250000,31.000000,31.615000,31.615000,326618850
2021-02-01,31.600000,35.000000,31.438000,34.900002,34.900002,308169100
2021-02-08,35.134998,36.297001,33.830002,35.130001,35.130001,282796200
2021-02-15,35.599998,36.657001,35.201000,36.422001,36.422001,211641600
2021-02-22,36.700001,37.009998,34.610001,34.779999,34.779999,150699800
2021-03-01,35.129002,35.900002,34.112000,34.331001,34.331001,150861511
2021-03-08,34.331001,36.124001,33.775002,36.056000,36.056000,120698206
2021-03-15,35.654999,36.169998,35.401001,35.549999,35.549999,28645000
