Date,Open,High,Low,Close,Adj Close,Volume
2020-03-02,7.200000,7.770000,6.800000,7.000000,7.000000,2062213
2020-03-03,7.300000,7.490000,7.070000,7.370000,7.370000,961900
2020-03-04,7.300000,7.480000,6.960000,7.240000,7.240000,811400
2020-03-05,7.250000,7.460000,7.050000,7.170000,7.170000,811902
2020-03-06,7.180000,7.180000,6.800000,6.990000,6.990000,1513618
2020-03-10,6.480000,6.950000,5.600000,6.700000,6.700000,1671600
2020-03-11,6.830000,6.900000,6.500000,6.590000,6.590000,787600
2020-03-12,6.040000,6.280000,5.660000,5.660000,5.660000,1853100
2020-03-13,5.660000,5.660000,5.660000,5.660000,5.660000,0
2020-03-16,5.660000,5.660000,5.660000,5.660000,5.660000,0
2020-03-17,5.480000,5.530000,4.980000,5.080000,5.080000,1161920
2020-03-18,4.910000,4.950000,4.630000,4.710000,4.710000,797400
2020-03-19,4.610000,4.980000,4.610000,4.880000,4.880000,852900
2020-03-20,5.050000,5.720000,4.900000,4.900000,4.900000,2416399
2020-03-23,4.770000,5.380000,4.620000,5.130000,5.130000,1004800
2020-03-24,5.150000,6.000000,5.100000,5.510000,5.510000,2056810
2020-03-25,5.600000,6.000000,5.320000,5.640000,5.640000,2017300
2020-03-26,5.500000,5.900000,5.050000,5.730000,5.730000,722900
2020-03-27,5.750000,5.750000,5.490000,5.640000,5.640000,591600
2020-03-30,5.510000,5.750000,5.300000,5.590000,5.590000,475600
2020-03-31,5.690000,5.880000,5.660000,5.740000,5.740000,549900
2020-04-01,5.720000,6.500000,5.610000,5.970000,5.970000,1790400
2020-04-02,6.030000,7.000000,6.030000,6.540000,6.540000,4247323
2020-04-03,6.680000,6.950000,6.550000,6.740000,6.740000,2623261
2020-04-06,6.760000,6.890000,6.670000,6.750000,6.750000,712200
2020-04-07,6.840000,6.920000,6.540000,6.590000,6.590000,1568100
2020-04-08,6.600000,6.660000,6.300000,6.550000,6.550000,478156
2020-04-09,6.660000,6.780000,6.520000,6.670000,6.670000,923001
2020-04-10,6.670000,7.180000,6.660000,7.080000,7.080000,1569100
2020-04-13,6.940000,7.160000,6.670000,6.800000,6.800000,1633600
2020-04-14,6.880000,6.900000,6.540000,6.560000,6.560000,1254900
2020-04-15,6.550000,6.560000,6.030000,6.120000,6.120000,2420600
2020-04-16,6.150000,6.310000,6.030000,6.210000,6.210000,2368700
2020-04-17,6.310000,6.370000,6.070000,6.220000,6.220000,1484901
2020-04-20,6.200000,6.350000,6.170000,6.350000,6.350000,973215
2020-04-21,6.190000,6.350000,5.930000,6.180000,6.180000,1825810
2020-04-22,6.150000,6.250000,6.080000,6.160000,6.160000,1748100
2020-04-23,6.280000,6.300000,6.120000,6.220000,6.220000,624848
2020-04-24,6.160000,6.740000,6.160000,6.320000,6.320000,1458500
2020-04-27,6.480000,6.520000,6.200000,6.380000,6.380000,984905
2020-04-28,6.370000,6.420000,6.200000,6.240000,6.240000,1303500
2020-04-29,6.300000,6.380000,6.270000,6.350000,6.350000,602901
2020-04-30,6.370000,6.500000,6.330000,6.440000,6.440000,741001
2020-05-04,6.300000,6.590000,6.300000,6.370000,6.370000,553800
2020-05-05,6.310000,6.600000,6.300000,6.540000,6.540000,979500
2020-05-06,6.550000,6.660000,6.510000,6.580000,6.580000,787600
2020-05-07,6.500000,6.620000,6.500000,6.600000,6.600000,403000
2020-05-08,6.580000,6.580000,6.450000,6.510000,6.510000,562500
2020-05-12,6.510000,6.520000,6.390000,6.500000,6.500000,701101
2020-05-13,6.420000,6.490000,6.340000,6.410000,6.410000,297800
2020-05-14,6.420000,6.420000,6.300000,6.360000,6.360000,435100
2020-05-15,6.400000,6.400000,6.280000,6.310000,6.310000,208503
2020-05-18,6.310000,6.950000,6.310000,6.600000,6.600000,1663900
2020-05-19,6.700000,6.700000,6.610000,6.650000,6.650000,253504
2020-05-20,6.680000,6.720000,6.460000,6.660000,6.660000,1218500
2020-05-21,6.660000,6.710000,6.610000,6.680000,6.680000,380101
2020-05-22,6.610000,6.800000,6.600000,6.790000,6.790000,572300
2020-05-25,6.790000,7.190000,6.790000,7.140000,7.140000,1746900
2020-05-26,7.070000,7.330000,6.840000,7.000000,7.000000,1589700
2020-05-27,7.120000,7.140000,6.940000,7.100000,7.100000,1112120
2020-05-28,7.150000,7.290000,6.980000,7.220000,7.220000,999200
2020-05-29,7.230000,7.240000,7.090000,7.170000,7.170000,445200
2020-06-01,7.200000,7.360000,7.110000,7.360000,7.360000,1007900
2020-06-02,7.380000,7.800000,7.340000,7.590000,7.590000,2854501
2020-06-03,7.620000,7.810000,7.510000,7.750000,7.750000,1237303
2020-06-04,7.720000,7.790000,7.630000,7.650000,7.650000,859447
2020-06-05,7.570000,7.770000,7.390000,7.770000,7.770000,610700
2020-06-08,7.590000,8.000000,7.590000,7.850000,7.850000,774610
2020-06-09,7.790000,8.000000,7.400000,7.570000,7.570000,1139722
2020-06-10,7.690000,7.750000,7.210000,7.380000,7.380000,830402
2020-06-11,7.270000,7.360000,6.800000,7.000000,7.000000,6495910
2020-06-15,6.820000,7.190000,6.820000,7.060000,7.060000,1055681
2020-06-16,7.190000,7.700000,7.120000,7.300000,7.300000,2044907
2020-06-17,7.470000,7.470000,7.030000,7.120000,7.120000,1094708
2020-06-18,7.190000,7.200000,7.050000,7.130000,7.130000,453604
2020-06-19,7.160000,7.350000,7.160000,7.260000,7.260000,658900
2020-06-22,7.380000,7.380000,7.160000,7.270000,7.270000,188000
2020-06-23,7.300000,7.350000,7.190000,7.270000,7.270000,708218
2020-06-25,7.210000,7.270000,7.070000,7.200000,7.200000,624501
2020-06-26,7.290000,7.290000,7.210000,7.250000,7.250000,615170
2020-06-29,7.200000,7.440000,7.160000,7.390000,7.390000,1180501
2020-06-30,7.300000,7.390000,7.220000,7.330000,7.330000,693402
2020-07-02,7.310000,7.360000,7.220000,7.270000,7.270000,541802
2020-07-03,7.280000,7.340000,7.240000,7.280000,7.280000,471301
2020-07-06,7.300000,7.390000,6.880000,7.340000,7.340000,1685204
2020-07-07,7.420000,7.590000,7.290000,7.390000,7.390000,317209
2020-07-08,7.320000,7.450000,7.320000,7.450000,7.450000,346601
2020-07-09,7.470000,7.540000,7.400000,7.480000,7.480000,400901
2020-07-10,7.430000,7.680000,7.380000,7.580000,7.580000,340420
2020-07-13,7.650000,7.840000,7.520000,7.770000,7.770000,1058401
2020-07-14,7.620000,7.700000,7.460000,7.570000,7.570000,1258300
2020-07-15,7.460000,7.680000,7.450000,7.600000,7.600000,1336707
2020-07-16,7.680000,7.700000,7.530000,7.570000,7.570000,890800
2020-07-17,7.540000,7.620000,7.500000,7.540000,7.540000,1416212
2020-07-20,7.600000,7.710000,7.550000,7.690000,7.690000,1218078
2020-07-21,7.700000,7.940000,7.700000,7.820000,7.820000,1957341
2020-07-22,7.820000,7.910000,7.770000,7.830000,7.830000,227104
2020-07-23,7.860000,7.860000,7.620000,7.670000,7.670000,831219
2020-07-24,7.780000,7.780000,7.590000,7.720000,7.720000,507901
2020-07-27,7.570000,7.800000,7.570000,7.720000,7.720000,639401
2020-07-28,7.670000,7.810000,7.670000,7.720000,7.720000,751003
2020-07-29,7.670000,7.870000,7.670000,7.770000,7.770000,503539
2020-07-30,7.780000,7.780000,7.630000,7.690000,7.690000,1194203
2020-07-31,7.650000,7.710000,7.600000,7.610000,7.610000,303903
2020-08-03,7.730000,7.730000,7.500000,7.680000,7.680000,750603
2020-08-04,7.600000,7.700000,7.580000,7.650000,7.650000,546900
2020-08-05,7.610000,7.700000,7.600000,7.620000,7.620000,516601
2020-08-06,7.570000,7.700000,7.570000,7.680000,7.680000,1132501
2020-08-07,7.670000,7.680000,7.480000,7.620000,7.620000,455200
2020-08-10,7.610000,7.670000,7.530000,7.580000,7.580000,846101
2020-08-11,7.660000,7.680000,7.550000,7.590000,7.590000,287701
2020-08-12,7.500000,7.580000,7.500000,7.530000,7.530000,358350
2020-08-13,7.500000,7.700000,7.470000,7.610000,7.610000,614222
2020-08-14,7.590000,7.680000,7.520000,7.620000,7.620000,449900
2020-08-17,7.580000,7.690000,7.480000,7.640000,7.640000,1147427
2020-08-18,7.640000,7.740000,7.590000,7.620000,7.620000,1115101
2020-08-19,7.600000,7.670000,7.560000,7.660000,7.660000,296701
2020-08-20,7.560000,7.610000,7.560000,7.590000,7.590000,259601
2020-08-21,7.580000,7.800000,7.500000,7.560000,7.560000,1127200
2020-08-24,7.620000,7.750000,7.560000,7.670000,7.670000,261804
2020-08-25,7.650000,7.690000,7.560000,7.650000,7.650000,334705
2020-08-26,7.610000,7.670000,7.580000,7.630000,7.630000,219940
2020-08-27,7.600000,7.640000,7.520000,7.610000,7.610000,502802
2020-08-28,7.620000,7.620000,7.560000,7.580000,7.580000,114404
2020-08-31,7.570000,7.610000,7.000000,7.580000,7.580000,831492
2020-09-01,7.560000,7.610000,7.500000,7.580000,7.580000,612000
2020-09-02,7.520000,8.190000,7.520000,7.670000,7.670000,4219715
2020-09-03,7.670000,7.940000,7.630000,7.690000,7.690000,1884451
2020-09-04,7.790000,7.790000,7.590000,7.600000,7.600000,263860
2020-09-07,7.600000,7.670000,7.480000,7.590000,7.590000,467602
2020-09-08,7.600000,7.610000,7.300000,7.450000,7.450000,615500
2020-09-09,7.500000,7.790000,7.380000,7.650000,7.650000,1408711
2020-09-10,7.670000,8.120000,7.670000,7.980000,7.980000,3354318
2020-09-11,8.080000,8.600000,7.860000,8.260000,8.260000,5056901
2020-09-14,8.400000,8.400000,8.000000,8.120000,8.120000,1154702
2020-09-15,8.120000,8.490000,8.040000,8.140000,8.140000,2713260
2020-09-16,8.500000,8.870000,8.450000,8.650000,8.650000,6057703
2020-09-17,8.650000,9.880000,8.650000,9.880000,9.880000,12338449
2020-09-18,9.900000,10.000000,9.080000,9.560000,9.560000,8460400
2020-09-21,9.500000,9.500000,9.000000,9.020000,9.020000,2983402
2020-09-22,9.010000,9.460000,9.010000,9.300000,9.300000,2526813
2020-09-23,9.330000,9.330000,9.000000,9.040000,9.040000,1959301
2020-09-24,9.090000,9.090000,8.510000,8.800000,8.800000,3023205
2020-09-25,8.800000,8.800000,8.400000,8.500000,8.500000,3088850
2020-09-28,8.630000,8.820000,8.250000,8.750000,8.750000,2654101
2020-09-29,8.750000,9.360000,8.740000,9.250000,9.250000,5045903
2020-09-30,9.070000,9.650000,9.070000,9.340000,9.340000,3064502
2020-10-01,9.220000,9.750000,9.120000,9.450000,9.450000,3425825
2020-10-02,9.320000,9.400000,9.090000,9.250000,9.250000,1856510
2020-10-05,9.240000,10.200000,9.130000,9.980000,9.980000,5972802
2020-10-06,10.150000,11.500000,10.150000,10.650000,10.650000,10466510
2020-10-07,10.790000,11.000000,10.240000,10.310000,10.310000,2312268
2020-10-08,10.350000,10.530000,9.940000,10.240000,10.240000,1680060
2020-10-09,10.140000,10.560000,9.910000,10.190000,10.190000,1411502
2020-10-12,10.170000,10.540000,9.940000,10.520000,10.520000,1460225
2020-10-13,10.520000,10.600000,10.260000,10.310000,10.310000,835012
2020-10-14,10.340000,10.480000,10.160000,10.410000,10.410000,955601
2020-10-15,10.410000,10.410000,10.410000,10.410000,10.410000,0
2020-10-16,10.410000,10.410000,10.410000,10.410000,10.410000,0
2020-10-19,10.250000,10.290000,10.030000,10.190000,10.190000,457220
2020-10-20,10.180000,10.270000,10.140000,10.200000,10.200000,853745
2020-10-21,10.200000,10.320000,10.050000,10.130000,10.130000,295510
2020-10-22,10.180000,10.180000,9.630000,9.910000,9.910000,1327514
2020-10-23,9.910000,10.000000,9.570000,9.830000,9.830000,1049001
2020-10-26,9.830000,9.900000,9.500000,9.840000,9.840000,1342710
2020-10-27,9.820000,9.930000,9.680000,9.800000,9.800000,1119503
2020-10-28,9.720000,9.800000,9.000000,9.100000,9.100000,1931005
2020-10-29,9.050000,9.430000,8.950000,9.280000,9.280000,1258901
2020-10-30,9.110000,9.770000,9.030000,9.540000,9.540000,2070317
2020-11-02,9.590000,9.710000,9.310000,9.430000,9.430000,421400
2020-11-03,9.490000,9.860000,9.490000,9.770000,9.770000,821200
2020-11-05,9.870000,10.120000,9.810000,10.000000,10.000000,1100801
2020-11-06,9.900000,10.150000,9.900000,10.120000,10.120000,747706
2020-11-09,10.120000,10.480000,10.010000,10.010000,10.010000,1063647
2020-11-10,10.090000,10.180000,9.940000,10.130000,10.130000,886101
2020-11-11,10.180000,10.470000,10.170000,10.300000,10.300000,1396129
2020-11-12,10.350000,10.500000,10.010000,10.280000,10.280000,969302
2020-11-13,10.210000,10.450000,10.120000,10.350000,10.350000,644004
2020-11-16,10.340000,10.390000,10.170000,10.320000,10.320000,549301
2020-11-17,10.270000,11.000000,10.270000,10.620000,10.620000,2350914
2020-11-18,10.650000,11.000000,10.640000,10.980000,10.980000,1354403
2020-11-19,10.840000,11.780000,10.750000,11.670000,11.670000,2671927
2020-11-20,11.760000,12.500000,11.760000,12.150000,12.150000,6570584
2020-11-23,12.190000,12.400000,11.660000,11.780000,11.780000,2472421
2020-11-24,11.790000,11.930000,11.610000,11.730000,11.730000,1068201
2020-11-25,11.780000,11.850000,11.600000,11.680000,11.680000,937912
2020-11-26,11.660000,11.780000,11.050000,11.250000,11.250000,1100600
2020-11-27,11.230000,11.890000,11.140000,11.730000,11.730000,858400
2020-11-30,11.790000,12.060000,11.540000,11.610000,11.610000,1087901
2020-12-01,11.640000,12.290000,11.640000,12.290000,12.290000,2737101
2020-12-02,12.300000,12.410000,12.070000,12.160000,12.160000,917793
2020-12-03,12.160000,12.350000,11.810000,12.240000,12.240000,1475217
2020-12-04,12.210000,12.270000,11.910000,12.000000,12.000000,512701
2020-12-07,12.000000,12.610000,11.870000,12.120000,12.120000,876307
2020-12-08,12.120000,12.190000,11.820000,12.050000,12.050000,419339
2020-12-09,12.190000,12.190000,11.930000,11.950000,11.950000,376113
2020-12-10,12.000000,12.200000,11.630000,11.800000,11.800000,2086200
2020-12-11,11.870000,12.050000,11.700000,11.850000,11.850000,631002
2020-12-14,11.860000,11.890000,11.320000,11.360000,11.360000,2842393
2020-12-15,11.490000,11.770000,11.250000,11.680000,11.680000,629503
2020-12-16,11.700000,11.850000,11.450000,11.800000,11.800000,508601
2020-12-17,11.830000,11.840000,11.620000,11.650000,11.650000,470805
2020-12-18,11.660000,11.760000,11.470000,11.580000,11.580000,284502
2020-12-21,11.600000,11.640000,10.860000,11.150000,11.150000,1712302
2020-12-22,11.380000,11.700000,11.220000,11.650000,11.650000,907102
2020-12-23,11.650000,12.050000,11.650000,11.870000,11.870000,1386101
2020-12-24,11.840000,12.020000,11.670000,11.790000,11.790000,423001
2020-12-25,11.890000,11.890000,11.440000,11.710000,11.710000,557500
2020-12-28,11.690000,11.770000,11.510000,11.580000,11.580000,626400
2020-12-29,11.670000,11.680000,11.250000,11.430000,11.430000,924205
2020-12-30,11.450000,11.590000,11.380000,11.550000,11.550000,429440
2021-01-04,11.590000,11.830000,11.510000,11.760000,11.760000,829204
2021-01-05,11.790000,11.880000,11.640000,11.690000,11.690000,646650
2021-01-06,11.770000,11.790000,11.460000,11.640000,11.640000,996631
2021-01-08,11.640000,11.640000,11.640000,11.640000,11.640000,0
2021-01-11,11.510000,11.670000,11.510000,11.650000,11.650000,873504
2021-01-12,11.690000,12.110000,11.620000,11.900000,11.900000,3956498
2021-01-13,12.050000,12.550000,11.830000,11.900000,11.900000,3159401
2021-01-14,11.820000,11.990000,11.660000,11.840000,11.840000,1325401
2021-01-15,11.750000,11.990000,11.730000,11.730000,11.730000,867050
