Date,Open,High,Low,Close,Adj Close,Volume
2020-02-28,170.199997,173.600006,157.500000,161.500000,161.500000,711105
2020-03-02,164.800003,168.500000,159.800003,163.300003,163.300003,324149
2020-03-03,165.000000,168.000000,164.600006,165.600006,165.600006,177002
2020-03-04,165.600006,166.500000,161.399994,163.000000,163.000000,241801
2020-03-05,164.600006,164.600006,159.600006,161.000000,161.000000,223048
2020-03-06,158.000000,159.399994,153.699997,155.100006,155.100006,266765
2020-03-10,146.100006,146.300003,117.000000,143.399994,143.399994,498894
2020-03-11,145.699997,149.600006,143.500000,144.899994,144.899994,228647
2020-03-12,135.000000,140.100006,125.000000,125.500000,125.500000,318273
2020-03-13,120.599998,138.600006,120.599998,131.399994,131.399994,265170
2020-03-16,131.399994,131.399994,131.399994,131.399994,131.399994,0
2020-03-17,133.300003,136.300003,130.000000,135.699997,135.699997,237858
2020-03-18,135.600006,151.000000,133.399994,142.500000,142.500000,1272726
2020-03-19,149.899994,160.500000,140.100006,150.199997,150.199997,1923673
2020-03-20,155.000000,165.000000,153.600006,156.399994,156.399994,1035309
2020-03-23,157.000000,163.000000,147.699997,154.600006,154.600006,546031
2020-03-24,157.000000,161.000000,153.500000,154.000000,154.000000,740619
2020-03-25,156.500000,157.699997,149.000000,152.100006,152.100006,638648
2020-03-26,152.000000,153.500000,149.600006,152.300003,152.300003,176836
2020-03-27,154.000000,155.300003,145.199997,148.000000,148.000000,289270
2020-03-30,150.800003,154.000000,146.100006,150.500000,150.500000,323582
2020-03-31,152.500000,153.500000,150.300003,151.600006,151.600006,465783
2020-04-01,150.000000,152.000000,149.399994,150.100006,150.100006,292091
2020-04-02,151.000000,152.000000,147.699997,150.300003,150.300003,220099
2020-04-03,150.300003,151.199997,147.800003,148.899994,148.899994,368578
2020-04-06,150.399994,150.500000,148.100006,150.100006,150.100006,302333
2020-04-07,150.100006,155.800003,148.899994,150.199997,150.199997,985745
2020-04-08,151.000000,155.500000,149.199997,154.000000,154.000000,520050
2020-04-09,157.000000,158.199997,152.500000,153.600006,153.600006,603630
2020-04-10,155.500000,155.500000,150.300003,152.199997,152.199997,227890
2020-04-13,153.000000,154.300003,150.000000,151.800003,151.800003,173622
2020-04-14,151.600006,154.000000,150.000000,152.699997,152.699997,286389
2020-04-15,152.000000,153.500000,146.300003,147.699997,147.699997,236475
2020-04-16,147.500000,149.000000,142.000000,146.600006,146.600006,541948
2020-04-17,148.000000,148.300003,146.800003,148.000000,148.000000,101682
2020-04-20,148.000000,150.500000,147.199997,150.100006,150.100006,210182
2020-04-21,149.500000,150.500000,146.199997,148.000000,148.000000,310564
2020-04-22,148.600006,149.500000,147.100006,148.600006,148.600006,288215
2020-04-23,149.199997,151.600006,147.000000,150.500000,150.500000,252013
2020-04-24,151.000000,151.399994,149.100006,149.500000,149.500000,95620
2020-04-27,149.000000,152.500000,149.000000,150.600006,150.600006,151863
2020-04-28,151.399994,153.899994,148.500000,150.000000,150.000000,406270
2020-04-29,152.899994,152.899994,150.199997,151.899994,151.899994,246180
2020-04-30,152.500000,155.399994,152.100006,153.899994,153.899994,488617
2020-05-04,152.800003,157.000000,152.000000,155.899994,155.899994,271431
2020-05-05,156.600006,159.199997,155.399994,157.699997,157.699997,317375
2020-05-06,157.199997,159.000000,155.000000,156.500000,156.500000,334006
2020-05-07,155.899994,158.399994,155.899994,157.100006,157.100006,209507
2020-05-08,158.399994,158.399994,155.800003,157.500000,157.500000,169201
2020-05-12,157.000000,157.800003,150.800003,153.600006,153.600006,481270
2020-05-13,153.600006,154.399994,151.500000,151.500000,151.500000,177980
2020-05-14,152.000000,152.500000,149.100006,150.000000,150.000000,155795
2020-05-15,150.000000,151.300003,149.100006,149.600006,149.600006,288157
2020-05-18,150.000000,152.000000,149.500000,151.399994,151.399994,367721
2020-05-19,151.699997,152.800003,151.500000,151.899994,151.899994,190271
2020-05-20,152.899994,152.899994,146.399994,150.600006,150.600006,519330
2020-05-21,151.699997,151.800003,149.800003,150.300003,150.300003,342458
2020-05-22,150.100006,151.100006,146.899994,150.399994,150.399994,252713
2020-05-25,151.100006,154.800003,151.000000,153.600006,153.600006,285260
2020-05-26,154.899994,155.800003,152.100006,152.699997,152.699997,480178
2020-05-27,153.500000,155.000000,151.000000,152.100006,152.100006,523610
2020-05-28,153.399994,154.600006,151.000000,152.800003,152.800003,507074
2020-05-29,153.000000,153.000000,151.100006,152.000000,152.000000,195948
2020-06-01,153.000000,154.500000,152.500000,153.600006,153.600006,267260
2020-06-02,153.600006,156.500000,153.500000,156.100006,156.100006,673636
2020-06-03,158.399994,169.899994,156.699997,169.899994,169.899994,2319723
2020-06-04,171.300003,171.300003,161.100006,162.699997,162.699997,1348127
2020-06-05,164.300003,168.600006,163.800003,167.399994,167.399994,930779
2020-06-08,168.399994,180.000000,167.699997,176.000000,176.000000,1738107
2020-06-09,177.800003,183.300003,171.800003,173.399994,173.399994,1263150
