Date,Open,High,Low,Close,Adj Close,Volume
2020-02-28,0.270000,0.270000,0.245000,0.260000,0.245135,15990007
2020-03-02,0.262000,0.290000,0.262000,0.278000,0.262106,9400000
2020-03-03,0.298000,0.298000,0.281000,0.288500,0.272006,4230000
2020-03-04,0.284500,0.292000,0.284000,0.285000,0.268706,2760000
2020-03-05,0.280000,0.294000,0.278000,0.282500,0.266349,8830000
2020-03-06,0.280500,0.283500,0.265000,0.271500,0.255978,5260000
2020-03-10,0.249500,0.250000,0.221000,0.241000,0.227222,28600000
2020-03-11,0.249000,0.249500,0.233500,0.243000,0.229107,6730002
2020-03-12,0.232000,0.238500,0.215500,0.215500,0.203180,9440000
2020-03-13,0.214000,0.227000,0.214000,0.224000,0.211194,13550000
2020-03-16,0.224000,0.224000,0.224000,0.224000,0.211194,0
2020-03-17,0.243500,0.250000,0.222000,0.225500,0.212608,13640000
2020-03-18,0.227000,0.227000,0.198500,0.201500,0.189980,26400000
2020-03-19,0.202000,0.213000,0.198000,0.210000,0.197994,24870005
2020-03-20,0.220500,0.249500,0.214000,0.224000,0.211194,22890000
2020-03-23,0.223000,0.234000,0.206500,0.222500,0.209779,14250001
2020-03-24,0.225000,0.239500,0.224500,0.237000,0.223450,11900000
2020-03-25,0.240000,0.250000,0.235500,0.240000,0.226279,18950000
2020-03-26,0.236000,0.251000,0.236000,0.246000,0.231936,6190000
2020-03-27,0.251000,0.255500,0.239500,0.247000,0.232879,22120005
2020-03-30,0.248000,0.253000,0.247000,0.251000,0.236650,9000000
2020-03-31,0.252000,0.267000,0.249000,0.259500,0.244664,11530000
2020-04-01,0.259500,0.259500,0.253000,0.259000,0.244193,6680000
2020-04-02,0.262500,0.265000,0.260000,0.262500,0.247493,7230000
2020-04-03,0.266000,0.278000,0.263000,0.277000,0.261164,11060000
2020-04-06,0.280000,0.299500,0.272000,0.294500,0.277663,29730000
2020-04-07,0.299500,0.305000,0.290500,0.295000,0.278134,29640000
2020-04-08,0.297500,0.297500,0.287000,0.291000,0.274363,8180020
2020-04-09,0.298000,0.308000,0.271000,0.292000,0.275306,10630000
2020-04-10,0.297000,0.305000,0.288500,0.301000,0.283791,19890000
2020-04-13,0.301000,0.304000,0.291500,0.299000,0.281906,7720000
2020-04-14,0.299000,0.304500,0.299000,0.300500,0.283320,10780002
2020-04-15,0.300500,0.301500,0.281500,0.292000,0.275306,15900001
2020-04-16,0.292000,0.294000,0.275000,0.290000,0.273420,15340000
2020-04-17,0.294500,0.297000,0.294000,0.296500,0.279549,5720000
2020-04-20,0.301000,0.301000,0.291500,0.299000,0.281906,17750000
2020-04-21,0.288000,0.298000,0.285500,0.291000,0.274363,7650000
2020-04-22,0.295000,0.298000,0.293000,0.296000,0.279077,6240000
2020-04-23,0.300000,0.303000,0.297000,0.302500,0.285206,19520000
2020-04-24,0.297000,0.310000,0.297000,0.305500,0.288034,14180000
2020-04-27,0.307000,0.330000,0.306500,0.325000,0.306419,33250000
2020-04-28,0.324000,0.350000,0.315000,0.337500,0.318205,72400001
2020-04-29,0.324000,0.343000,0.324000,0.332000,0.313019,46600001
2020-04-30,0.333000,0.335000,0.320000,0.330500,0.311605,25170009
2020-05-04,0.334000,0.334000,0.320000,0.331000,0.312076,14530001
2020-05-05,0.332500,0.338000,0.332500,0.338000,0.318676,27930000
2020-05-06,0.338500,0.344500,0.338000,0.343500,0.323862,23540000
2020-05-07,0.343500,0.351500,0.343500,0.351500,0.331404,45570000
2020-05-08,0.351500,0.360000,0.342000,0.353500,0.333290,115530019
2020-05-12,0.330000,0.333000,0.322000,0.326500,0.326500,65820000
2020-05-13,0.323000,0.323000,0.303500,0.307000,0.307000,36930000
2020-05-14,0.309000,0.309000,0.289500,0.292000,0.292000,33020000
2020-05-15,0.296000,0.310000,0.291000,0.300000,0.300000,37430000
2020-05-18,0.301500,0.308000,0.295000,0.299000,0.299000,15390000
2020-05-19,0.299000,0.299000,0.290500,0.297500,0.297500,15020005
2020-05-20,0.297500,0.299500,0.291500,0.298000,0.298000,5980000
2020-05-21,0.294500,0.300000,0.294500,0.296500,0.296500,6270000
2020-05-22,0.296000,0.299000,0.293000,0.295500,0.295500,3000001
2020-05-25,0.297500,0.298000,0.290000,0.295000,0.295000,12080000
2020-05-26,0.295000,0.298500,0.293500,0.297000,0.297000,7540000
