Date,Open,High,Low,Close,Adj Close,Volume
2020-02-24,0.299000,0.299000,0.245000,0.260000,0.245135,46100008
2020-03-02,0.262000,0.298000,0.262000,0.271500,0.255978,30480000
2020-03-09,0.271500,0.271500,0.214000,0.224000,0.211194,58320002
2020-03-16,0.224000,0.250000,0.198000,0.224000,0.211194,87800005
2020-03-23,0.223000,0.255500,0.206500,0.247000,0.232879,73410006
2020-03-30,0.248000,0.278000,0.247000,0.277000,0.261164,45500000
2020-04-06,0.280000,0.308000,0.271000,0.301000,0.283791,98070020
2020-04-13,0.301000,0.304500,0.275000,0.296500,0.279549,55460003
2020-04-20,0.301000,0.310000,0.285500,0.305500,0.288034,65340000
2020-04-27,0.307000,0.350000,0.306500,0.330500,0.311605,177420011
2020-05-04,0.334000,0.360000,0.320000,0.353500,0.333290,227100020
2020-05-11,0.353500,0.353500,0.289500,0.300000,0.282849,173200000
2020-05-18,0.301500,0.308000,0.290500,0.295500,0.295500,45660006
2020-05-25,0.297500,0.299000,0.290000,0.290500,0.290500,32740011
2020-06-01,0.293500,0.294000,0.270500,0.283500,0.283500,50230016
2020-06-08,0.289000,0.292500,0.281500,0.283500,0.283500,21720009
2020-06-15,0.285000,0.296500,0.277500,0.289000,0.289000,13470012
2020-06-22,0.289500,0.294000,0.281500,0.283000,0.283000,12670005
2020-06-29,0.282500,0.288500,0.277000,0.282500,0.282500,12440008
2020-07-06,0.286500,0.286500,0.277000,0.283000,0.283000,12650007
2020-07-13,0.287000,0.287000,0.277500,0.280000,0.280000,11380007
2020-07-20,0.280000,0.298000,0.278500,0.285000,0.285000,18610011
2020-07-27,0.284500,0.317000,0.282500,0.298000,0.298000,47120012
2020-08-03,0.295500,0.319000,0.292000,0.307000,0.307000,63360013
2020-08-10,0.310000,0.315500,0.303000,0.309000,0.309000,19970051
2020-08-17,0.312000,0.341000,0.309000,0.320500,0.320500,63860164
2020-08-24,0.320000,0.349500,0.316500,0.326500,0.326500,25440012
2020-08-31,0.335000,0.341000,0.310000,0.327000,0.327000,34350020
2020-09-07,0.331500,0.332500,0.319500,0.325500,0.325500,10600017
2020-09-14,0.331000,0.333000,0.318500,0.327000,0.327000,10520008
2020-09-21,0.326500,0.340500,0.323000,0.335000,0.335000,32910017
2020-09-28,0.330000,0.334500,0.320000,0.322500,0.322500,17410014
2020-10-05,0.320500,0.340000,0.319000,0.338000,0.338000,34880020
2020-10-12,0.335500,0.354000,0.335000,0.348500,0.348500,33690009
2020-10-19,0.345500,0.352500,0.342000,0.344500,0.344500,12400008
2020-10-26,0.347000,0.350000,0.310000,0.341500,0.341500,34770007
2020-11-02,0.339000,0.374000,0.330000,0.370000,0.370000,36120002
2020-11-09,0.371000,0.390000,0.365000,0.380000,0.380000,59830019
2020-11-16,0.386500,0.390000,0.367000,0.379000,0.379000,22630027
2020-11-23,0.380000,0.383000,0.376000,0.377000,0.377000,15630057
2020-11-30,0.379000,0.388500,0.375000,0.384500,0.384500,20590006
2020-12-07,0.382000,0.455500,0.381500,0.426000,0.426000,59030017
2020-12-14,0.427500,0.446500,0.416000,0.422000,0.422000,19830063
2020-12-21,0.418500,0.427000,0.398500,0.420000,0.420000,19250013
2020-12-28,0.420500,0.425500,0.412500,0.418500,0.418500,10350006
2021-01-04,0.420000,0.499000,0.418500,0.480500,0.480500,41040018
2021-01-11,0.490000,0.493500,0.450000,0.474000,0.474000,33430013
2021-01-18,0.472000,0.491000,0.460000,0.484500,0.484500,44720039
2021-01-25,0.483500,0.520000,0.483500,0.501000,0.501000,56860010
2021-02-01,0.506000,0.518000,0.500000,0.513000,0.513000,25570003
2021-02-08,0.517000,0.520000,0.500500,0.511000,0.511000,24830006
2021-02-15,0.512500,0.519500,0.495000,0.505500,0.505500,19290006
2021-02-22,0.517500,0.517500,0.478500,0.503500,0.503500,22290004
2021-03-01,0.495500,0.512500,0.490000,0.499000,0.499000,19290000
2021-03-08,0.499000,0.510000,0.498500,0.500500,0.500500,9570002
2021-03-15,0.501000,0.506500,0.500500,0.500500,0.500500,4220000
