Date,Open,High,Low,Close,Adj Close,Volume
2020-02-28,2622.000000,2686.000000,2540.199951,2659.800049,2659.800049,1467113
2020-03-02,2749.800049,2762.800049,2615.199951,2721.399902,2721.399902,1292874
2020-03-03,2745.000000,2784.800049,2701.399902,2723.000000,2723.000000,972855
2020-03-04,2680.000000,2708.800049,2632.600098,2654.199951,2654.199951,698834
2020-03-05,2755.000000,2755.000000,2643.199951,2728.199951,2728.199951,911088
2020-03-06,2700.800049,2711.800049,2556.000000,2685.000000,2685.000000,1007226
2020-03-10,2509.199951,2757.800049,2500.000000,2590.000000,2590.000000,1513950
2020-03-11,2616.800049,2640.000000,2520.000000,2615.000000,2615.000000,913216
2020-03-12,2559.800049,2560.000000,2350.000000,2460.000000,2460.000000,1547961
2020-03-13,2460.000000,2460.000000,2460.000000,2460.000000,2460.000000,0
2020-03-16,2460.000000,2460.000000,2460.000000,2460.000000,2460.000000,0
2020-03-17,2312.800049,2438.800049,2257.000000,2425.000000,2425.000000,1079881
2020-03-18,2357.000000,2400.000000,2251.000000,2318.800049,2318.800049,1289880
2020-03-19,2346.800049,2464.399902,2273.199951,2434.000000,2434.000000,1510071
2020-03-20,2482.600098,2593.399902,2414.000000,2455.199951,2455.199951,1336561
2020-03-23,2368.600098,2494.399902,2295.000000,2299.800049,2299.800049,1234866
2020-03-24,2363.000000,2489.000000,2363.000000,2459.000000,2459.000000,1075475
2020-03-25,2550.000000,2595.000000,2480.199951,2555.800049,2555.800049,1346952
2020-03-26,2584.000000,2640.000000,2505.000000,2610.000000,2610.000000,1170937
2020-03-27,2650.000000,2668.000000,2552.600098,2597.000000,2597.000000,800030
2020-03-30,2577.199951,2678.800049,2577.000000,2670.199951,2670.199951,660170
2020-03-31,2700.000000,2749.399902,2647.000000,2714.399902,2714.399902,815976
2020-04-01,2652.000000,2679.600098,2591.000000,2605.800049,2605.800049,763626
2020-04-02,2621.000000,2650.000000,2493.800049,2550.800049,2550.800049,1105528
2020-04-03,2540.199951,2584.000000,2514.399902,2520.000000,2520.000000,917226
2020-04-06,2566.399902,2609.000000,2536.199951,2582.000000,2582.000000,788118
2020-04-07,2609.000000,2695.000000,2602.199951,2668.000000,2668.000000,912075
2020-04-08,2622.000000,2742.600098,2600.199951,2742.600098,2742.600098,758477
2020-04-09,2724.800049,2755.800049,2661.199951,2697.199951,2697.199951,1047151
2020-04-10,2705.600098,2705.600098,2671.600098,2701.000000,2701.000000,263041
2020-04-13,2659.600098,2688.000000,2623.199951,2659.000000,2659.000000,350747
2020-04-14,2698.800049,2782.399902,2687.600098,2755.600098,2755.600098,910209
2020-04-15,2718.600098,2719.800049,2584.399902,2588.199951,2588.199951,777641
2020-04-16,2603.000000,2680.000000,2570.199951,2637.800049,2637.800049,709630
2020-04-17,2659.600098,2668.800049,2620.199951,2630.399902,2630.399902,462419
2020-04-20,2670.000000,2746.000000,2642.000000,2736.399902,2736.399902,867166
2020-04-21,2681.600098,2695.399902,2601.000000,2659.199951,2659.199951,1020412
2020-04-22,2643.000000,2706.800049,2631.199951,2655.000000,2655.000000,786098
2020-04-23,2666.000000,2677.000000,2621.399902,2640.600098,2640.600098,506952
2020-04-24,2634.399902,2655.000000,2606.600098,2621.000000,2621.000000,404824
2020-04-27,2651.600098,2715.000000,2647.000000,2715.000000,2715.000000,793139
2020-04-28,2730.199951,2856.800049,2716.399902,2754.800049,2754.800049,1304030
2020-04-29,2807.000000,2874.000000,2775.399902,2870.000000,2870.000000,779540
2020-04-30,2898.000000,2924.000000,2812.199951,2850.800049,2850.800049,746737
2020-05-04,2809.800049,2848.800049,2777.000000,2828.800049,2828.800049,415030
2020-05-05,2849.000000,2876.800049,2831.000000,2842.199951,2842.199951,353462
2020-05-06,2849.199951,2883.199951,2830.199951,2864.000000,2864.000000,376937
2020-05-07,2869.000000,2918.800049,2858.000000,2910.199951,2910.199951,430103
2020-05-08,2979.199951,2992.000000,2933.000000,2975.199951,2975.199951,473580
2020-05-12,2968.199951,2979.800049,2927.000000,2977.000000,2977.000000,278997
2020-05-13,2959.000000,2959.000000,2890.600098,2893.399902,2893.399902,511932
2020-05-14,2875.000000,2883.000000,2785.800049,2821.800049,2821.800049,559421
2020-05-15,2856.800049,2894.000000,2795.800049,2839.600098,2839.600098,519556
2020-05-18,2885.399902,2947.000000,2870.399902,2945.000000,2945.000000,481638
2020-05-19,2975.199951,2980.000000,2923.600098,2970.000000,2970.000000,341141
2020-05-20,2956.800049,3000.000000,2941.000000,2964.600098,2964.600098,511103
2020-05-21,2942.000000,2960.000000,2895.000000,2910.800049,2910.800049,505101
2020-05-22,2887.600098,2938.800049,2880.600098,2905.000000,2905.000000,337096
2020-05-25,2914.199951,2962.000000,2908.199951,2960.600098,2960.600098,259047
2020-05-26,2968.199951,2992.800049,2911.399902,2913.199951,2913.199951,554429
2020-05-27,2905.800049,2942.800049,2817.199951,2826.000000,2826.000000,688788
2020-05-28,2876.800049,2916.800049,2860.399902,2888.000000,2888.000000,623729
2020-05-29,2865.000000,2884.000000,2811.600098,2833.199951,2833.199951,530841
2020-06-01,2849.600098,2869.800049,2814.399902,2846.000000,2846.000000,636311
2020-06-02,2845.000000,2875.000000,2821.199951,2837.800049,2837.800049,698675
2020-06-03,2837.199951,2879.600098,2835.000000,2867.600098,2867.600098,667384
2020-06-04,2856.000000,2882.000000,2837.000000,2861.600098,2861.600098,458688
2020-06-05,2871.000000,2911.800049,2850.000000,2884.000000,2884.000000,425169
2020-06-08,2896.600098,2917.800049,2866.000000,2873.199951,2873.199951,364303
2020-06-09,2897.000000,2905.000000,2855.000000,2902.000000,2902.000000,336682
2020-06-10,2896.199951,2919.399902,2867.000000,2885.000000,2885.000000,352196
2020-06-11,2873.000000,2879.800049,2817.600098,2850.000000,2850.000000,477778
2020-06-15,2836.000000,2975.000000,2821.000000,2967.399902,2967.399902,799898
2020-06-16,2984.199951,3062.000000,2967.399902,3009.000000,3009.000000,918984
2020-06-17,3024.800049,3074.000000,3016.399902,3068.199951,3068.199951,606922
2020-06-18,3058.600098,3115.000000,3021.199951,3108.000000,3108.000000,741444
2020-06-19,3108.000000,3176.199951,3107.000000,3155.000000,3155.000000,700753
2020-06-22,3170.199951,3270.800049,3115.000000,3250.399902,3250.399902,721050
2020-06-23,3240.399902,3444.800049,3240.399902,3364.800049,3364.800049,1573342
