n;0.95;0.99;0.999
5;1.37;2.6;5.64
6;1.09;2.01;3.88
7;0.92;1.62;2.98
8;0.8;1.38;2.42
9;0.71;1.2;2.06
10;0.65;1.08;1.8
11;0.59;0.98;1.6
12;0.55;0.9;1.45
13;0.52;0.83;1.33
14;0.48;0.78;1.23
15;0.46;0.73;1.15
16;0.44;0.7;1.07
17;0.42;0.66;1.01
18;0.4;0.63;0.96
19;0.39;0.6;0.92
20;0.37;0.58;0.88
25;0.32;0.49;0.73
30;0.28;0.43;0.63
35;0.26;0.38;0.56
40;0.24;0.35;0.5
45;0.22;0.32;0.46
50;0.21;0.3;0.43
60;0.188;0.269;0.38
70;0.174;0.245;0.34
80;0.161;0.226;0.31
90;0.151;0.211;0.29
100;0.143;0.198;0.27
150;0.115;0.16;0.211
200;0.099;0.136;0.185
250;0.089;0.12;0.162
